110000107,110/12/07^43,44,21,30,19,48,08
110000106,110/12/03^41,35,08,14,36,13,05
110000105,110/11/30^09,26,10,31,49,40,08
110000104,110/11/26^15,30,10,21,16,22,14
110000103,110/11/23^13,32,07,37,33,06,42
110000102,110/11/19^16,36,17,15,23,13,29
110000101,110/11/16^23,34,06,44,43,41,38
110000100,110/11/12^25,37,02,47,03,27,26
110000099,110/11/09^09,14,20,42,39,26,05
110000108,110/12/10^24,27,40,03,15,21,13
110000109,110/12/14^30,14,07,21,36,27,43
110000110,110/12/17^35,11,02,40,37,30,13
110000111,110/12/21^27,44,31,48,05,04,33
110000112,110/12/24^19,27,11,02,44,07,22
110000113,110/12/28^11,01,02,21,08,45,16
110000114,110/12/31^14,34,05,37,09,28,35
111000001,111/01/04^07,04,19,43,03,22,36
111000002,111/01/07^31,15,06,39,09,38,25
111000003,111/01/11^49,36,17,13,10,11,41
111000004,111/01/14^24,05,26,35,14,13,39
111000005,111/01/18^19,48,33,35,22,38,11
111000006,111/01/21^15,42,27,37,26,34,47
111000007,111/01/25^15,10,35,27,02,09,44
111000008,111/01/28^12,44,36,41,07,42,29
111000009,111/01/29^01,23,34,02,20,26,19
111000010,111/01/30^23,15,08,20,22,03,36
111000011,111/01/31^14,33,43,44,32,04,49
111000012,111/02/01^25,45,47,08,44,34,24
111000013,111/02/02^06,33,11,18,23,41,39
111000014,111/02/03^22,09,34,05,36,18,11
111000015,111/02/04^18,29,01,38,21,36,16
111000016,111/02/05^41,49,04,36,02,13,16
111000017,111/02/06^29,34,12,42,38,24,33
111000018,111/02/07^32,45,18,03,23,40,38
111000019,111/02/08^23,33,38,49,29,05,24
111000020,111/02/09^11,35,02,45,07,18,25
111000021,111/02/10^41,25,27,44,22,01,03
111000022,111/02/11^46,44,24,30,23,42,48
111000023,111/02/15^18,42,26,40,23,27,03
111000024,111/02/18^47,36,48,16,39,20,35
111000025,111/02/22^22,03,37,21,40,34,05
111000026,111/02/25^17,26,18,38,49,21,20
111000027,111/03/01^07,19,31,24,45,17,38
111000028,111/03/04^01,03,31,30,29,18,26
111000029,111/03/08^44,19,13,16,14,30,20
111000030,111/03/11^04,24,08,15,03,21,29
111000031,111/03/15^47,46,01,33,31,37,36
111000032,111/03/18^42,44,26,15,02,21,45
111000033,111/03/22^49,26,36,21,43,07,16
111000034,111/03/25^45,47,49,14,22,17,26
111000035,111/03/29^43,16,29,24,27,21,41
111000036,111/04/01^38,20,11,34,03,10,04
111000037,111/04/05^27,33,24,31,08,15,13
111000038,111/04/08^29,10,44,15,31,19,23
111000039,111/04/12^18,22,17,40,42,14,37
111000040,111/04/15^02,30,09,11,14,15,22
111000041,111/04/19^20,18,30,05,41,04,23
111000042,111/04/22^28,32,47,49,36,03,16
111000043,111/04/26^42,31,49,32,12,43,36
111000044,111/04/29^12,44,25,48,18,14,45
111000045,111/05/03^23,14,21,19,18,16,03
111000046,111/05/06^49,01,05,28,45,19,29
111000047,111/05/10^11,48,02,32,24,20,27
111000048,111/05/13^36,24,37,10,48,27,29
111000049,111/05/17^37,09,28,22,29,34,36
111000050,111/05/20^12,05,22,08,49,42,46
111000051,111/05/24^24,19,45,35,46,04,02
111000052,111/05/27^18,04,11,39,46,37,27
111000053,111/05/31^11,25,28,17,10,27,31
111000054,111/06/03^48,42,43,04,39,11,44
111000055,111/06/07^31,19,04,18,17,44,46
111000056,111/06/10^05,38,10,13,28,29,34
111000057,111/06/14^29,03,09,47,28,20,35
111000058,111/06/17^46,28,30,07,47,11,48
111000059,111/06/21^20,34,14,41,03,44,43
111000060,111/06/24^29,40,43,03,26,18,13
111000061,111/06/28^21,25,41,45,42,24,34
111000062,111/07/01^43,29,20,34,14,32,02
111000063,111/07/05^45,26,47,08,38,03,35
111000064,111/07/08^35,05,09,15,44,40,10
111000065,111/07/12^17,14,07,20,29,45,30
111000066,111/07/15^14,41,15,49,27,43,39
111000067,111/07/19^41,40,09,29,16,23,43
111000068,111/07/22^12,30,38,24,11,33,31
111000070,111/07/29^37,12,21,18,19,33,15
111000069,111/07/26^10,27,39,17,29,12,47
111000071,111/08/02^29,37,02,26,28,48,05
111000072,111/08/05^30,18,46,21,05,43,26
111000073,111/08/09^33,11,30,21,09,23,34
111000074,111/08/12^04,21,07,37,15,43,05
111000075,111/08/16^18,31,11,16,07,01,24
111000076,111/08/19^03,04,28,41,21,10,15
111000077,111/08/23^47,25,24,06,49,23,05
111000078,111/08/26^16,30,42,38,04,17,05
111000079,111/08/30^16,08,05,27,45,35,37
111000080,111/09/02^23,36,45,43,25,20,38
111000081,111/09/06^49,32,36,26,38,35,39
111000082,111/09/09^36,07,17,39,28,15,01
111000083,111/09/13^10,34,21,15,48,07,38
111000084,111/09/16^02,31,44,07,06,27,28
111000085,111/09/20^35,13,11,29,24,43,01
111000086,111/09/23^48,12,30,44,02,31,46
111000087,111/09/27^34,43,40,17,10,28,29
111000088,111/09/30^34,39,28,05,12,18,24
111000089,111/10/04^49,43,14,23,34,13,44
111000090,111/10/07^26,15,16,05,30,10,12
111000091,111/10/11^01,42,46,23,03,25,02
111000092,111/10/14^25,32,36,01,11,13,30
111000093,111/10/18^27,38,39,01,47,14,49
