111000092,111/11/17^28,20,03,34,12,32,08
111000091,111/11/14^15,30,10,29,17,21,05
111000090,111/11/10^09,12,32,19,31,35,08
111000089,111/11/07^18,10,07,17,22,09,08
111000088,111/11/03^11,35,06,16,01,29,01
111000087,111/10/31^20,29,25,02,10,36,06
111000086,111/10/27^12,36,22,20,16,29,05
111000085,111/10/24^27,29,15,07,09,30,04
111000084,111/10/20^10,09,06,33,02,24,02
111000093,111/11/21^15,26,19,25,23,35,02
111000094,111/11/24^37,23,10,32,08,11,06
111000095,111/11/28^04,36,13,09,07,19,07
111000096,111/12/01^06,17,12,15,05,20,08
111000097,111/12/05^35,30,22,16,26,14,02
111000098,111/12/08^21,15,08,12,25,14,04
111000099,111/12/12^06,20,26,12,25,24,04
111000100,111/12/15^29,23,21,16,07,34,03
111000101,111/12/19^07,11,01,20,03,13,05
111000102,111/12/22^13,19,23,33,37,36,04
111000103,111/12/26^29,31,14,21,09,04,06
111000104,111/12/29^28,29,21,19,35,02,04
112000001,112/01/02^35,05,27,03,28,04,08
112000002,112/01/05^04,15,18,11,36,25,05
112000003,112/01/09^17,24,10,37,09,31,03
112000090,112/11/09^05,08,26,24,23,03,05
112000089,112/11/06^15,30,38,33,22,11,05
112000088,112/11/02^20,15,28,09,37,36,07
112000087,112/10/30^30,07,10,03,11,33,06
112000086,112/10/26^31,28,38,27,30,36,08
112000085,112/10/23^30,06,32,11,10,35,08
112000084,112/10/19^07,26,22,28,04,19,01
112000083,112/10/16^25,20,31,07,32,05,08
112000082,112/10/12^35,23,14,20,08,27,08
112000091,112/11/13^16,23,28,25,12,01,07
112000092,112/11/16^37,28,35,07,01,04,02
112000093,112/11/20^30,13,15,07,11,38,07
