113001,,4,5,30,32,34,39,0
113001,,9,17,20,32,33,39,0
113002,,1,11,14,39,40,49,0
113001,,4,5,30,32,34,39,0
113001,,9,17,20,32,33,39,0
113002,,1,11,14,39,40,49,0
113001,,4,5,30,32,34,39,0
113001,,9,17,20,32,33,39,0
113002,,1,11,14,39,40,49,0
113002,,8,13,21,28,29,48,0
113003,,13,14,19,23,32,37,0
113003,,1,12,28,29,32,47,0
113004,,4,5,10,23,43,49,0
113004,,8,17,23,26,42,47,0
113001,,4,5,30,32,34,39,0
113001,,9,17,20,32,33,39,0
113002,,1,11,14,39,40,49,0
113002,,8,13,21,28,29,48,0
113003,,13,14,19,23,32,37,0
113003,,1,12,28,29,32,47,0
113004,,4,5,10,23,43,49,0
113004,,8,17,23,26,42,47,0
113013,,7,9,28,35,37,40,0
113013,,3,9,10,16,30,44,0
113014,,7,15,31,33,46,48,0
113014,,10,26,29,38,45,47,0
113015,,12,19,20,22,41,45,0
113015,,6,7,10,13,36,41,0
113016,,4,18,19,30,46,47,0
113016,,7,21,27,29,36,47,0
113017,,3,13,30,34,36,44,0
113017,,4,8,18,35,38,49,0
113018,,4,22,32,36,38,44,0
113018,,7,13,23,24,27,43,0
113019,,24,25,36,38,41,46,0
113019,,7,11,23,25,33,48,0
113020,,7,19,22,36,44,46,0
113020,,3,5,25,27,34,45,0
113021,,8,21,22,30,36,38,0
113021,,3,14,17,39,46,49,0
113001,,4,5,30,32,34,39,0
113001,,9,17,20,32,33,39,0
113002,,1,11,14,39,40,49,0
113002,,8,13,21,28,29,48,0
113003,,13,14,19,23,32,37,0
113003,,1,12,28,29,32,47,0
113004,,4,5,10,23,43,49,0
113004,,8,17,23,26,42,47,0
113013,,7,9,28,35,37,40,0
113013,,3,9,10,16,30,44,0
113014,,7,15,31,33,46,48,0
113014,,10,26,29,38,45,47,0
113015,,12,19,20,22,41,45,0
113015,,6,7,10,13,36,41,0
113016,,4,18,19,30,46,47,0
113016,,7,21,27,29,36,47,0
113017,,3,13,30,34,36,44,0
113017,,4,8,18,35,38,49,0
113018,,4,22,32,36,38,44,0
113018,,7,13,23,24,27,43,0
113019,,24,25,36,38,41,46,0
113019,,7,11,23,25,33,48,0
113020,,7,19,22,36,44,46,0
113020,,3,5,25,27,34,45,0
113021,,8,21,22,30,36,38,0
113021,,3,14,17,39,46,49,0
113022,,14,19,23,32,34,49,0
113022,,1,3,12,22,35,47,0
113023,,14,18,38,43,44,48,0
113023,,15,16,17,24,46,49,0
113024,,11,23,24,26,33,44,0
113024,,5,10,12,13,32,49,0
113001,,4,5,30,32,34,39,0
113001,,9,17,20,32,33,39,0
113002,,1,11,14,39,40,49,0
113002,,8,13,21,28,29,48,0
113003,,13,14,19,23,32,37,0
113003,,1,12,28,29,32,47,0
113004,,4,5,10,23,43,49,0
113004,,8,17,23,26,42,47,0
113013,,7,9,28,35,37,40,0
113013,,3,9,10,16,30,44,0
113014,,7,15,31,33,46,48,0
113014,,10,26,29,38,45,47,0
113015,,12,19,20,22,41,45,0
113015,,6,7,10,13,36,41,0
113016,,4,18,19,30,46,47,0
113016,,7,21,27,29,36,47,0
113017,,3,13,30,34,36,44,0
113017,,4,8,18,35,38,49,0
113018,,4,22,32,36,38,44,0
113018,,7,13,23,24,27,43,0
113019,,24,25,36,38,41,46,0
113019,,7,11,23,25,33,48,0
113020,,7,19,22,36,44,46,0
113020,,3,5,25,27,34,45,0
113021,,8,21,22,30,36,38,0
113021,,3,14,17,39,46,49,0
113022,,14,19,23,32,34,49,0
113022,,1,3,12,22,35,47,0
113023,,14,18,38,43,44,48,0
113023,,15,16,17,24,46,49,0
113024,,11,23,24,26,33,44,0
113024,,5,10,12,13,32,49,0
113025,,1,12,17,19,30,33,0
113025,,7,18,19,22,44,48,0
113001,,4,5,30,32,34,39,0
113001,,9,17,20,32,33,39,0
113002,,1,11,14,39,40,49,0
113002,,8,13,21,28,29,48,0
113003,,13,14,19,23,32,37,0
113003,,1,12,28,29,32,47,0
113004,,4,5,10,23,43,49,0
113004,,8,17,23,26,42,47,0
113013,,7,9,28,35,37,40,0
113013,,3,9,10,16,30,44,0
113014,,7,15,31,33,46,48,0
113014,,10,26,29,38,45,47,0
113015,,12,19,20,22,41,45,0
113015,,6,7,10,13,36,41,0
113016,,4,18,19,30,46,47,0
113016,,7,21,27,29,36,47,0
113017,,3,13,30,34,36,44,0
113017,,4,8,18,35,38,49,0
113018,,4,22,32,36,38,44,0
113018,,7,13,23,24,27,43,0
113019,,24,25,36,38,41,46,0
113019,,7,11,23,25,33,48,0
113020,,7,19,22,36,44,46,0
113020,,3,5,25,27,34,45,0
113021,,8,21,22,30,36,38,0
113021,,3,14,17,39,46,49,0
113022,,14,19,23,32,34,49,0
113022,,1,3,12,22,35,47,0
113023,,14,18,38,43,44,48,0
113023,,15,16,17,24,46,49,0
113024,,11,23,24,26,33,44,0
113024,,5,10,12,13,32,49,0
113025,,1,12,17,19,30,33,0
113025,,7,18,19,22,44,48,0
113026,,2,3,27,37,39,45,0
113026,,5,20,23,35,41,46,0
113001,,4,5,30,32,34,39,0
113001,,9,17,20,32,33,39,0
113002,,1,11,14,39,40,49,0
113002,,8,13,21,28,29,48,0
113003,,13,14,19,23,32,37,0
113003,,1,12,28,29,32,47,0
