112000021,,4,9,16,19,23,26,7,1,0
112000021,,13,22,26,29,30,36,6,1,0
112000022,,22,23,32,33,34,37,5,2,0
112000022,,11,13,14,27,33,38,6,0,0
112000023,,17,18,19,22,26,37,2,0,0
112000023,,1,2,3,24,32,34,1,0,0
112000024,,9,14,17,18,20,25,5,0,0
112000024,,2,15,19,26,32,33,6,2,1
112000025,,6,10,12,30,33,38,1,2,0
112000025,,4,13,18,21,31,35,6,1,0
112000026,,2,21,23,25,28,36,5,0,0
112000026,,10,15,26,33,34,37,6,2,0
112000027,,1,5,17,23,26,29,2,2,0
112000027,,9,11,25,26,28,34,6,2,1
112000028,,4,18,21,29,32,37,2,1,0
112000028,,11,14,16,28,29,36,2,0,0
112000029,,3,5,10,13,24,31,6,0,0
112000029,,5,8,9,12,23,24,7,1,0
