112000032,,13,19,24,25,28,44,1,0
112000032,,12,15,20,27,34,35,0,1
112000033,,9,21,25,30,32,38,0,0
112000033,,2,8,13,16,19,44,0,0
112000034,,3,4,6,16,43,49,0,1
112000034,,4,9,16,39,42,46,-1,1
112000035,,2,8,24,32,40,44,0,0
112000035,,4,5,21,26,29,42,0,0
112000036,,1,6,15,29,33,35,0,0
112000036,,4,6,22,31,34,41,1,0
112000037,,10,11,15,28,37,41,1,1
112000037,,2,3,12,32,40,46,1,0
112000038,,4,5,29,32,37,41,0,1
112000038,,1,2,5,12,21,47,1,0
112000039,,7,10,21,27,37,45,2,0
112000039,,1,4,17,34,37,38,0,0
112000040,,3,11,12,13,42,46,1,0
112000040,,7,19,36,44,46,48,0,0
